,close_CEX_x,open_CEX_x,ETH_USDT,open,high,low,close,volume,rolling_volatility,rolling_avg_price_diff,price_change,jump_intensity,bid_price,ask_price,eth_inventory,bubble_inventory,cashflow,pnl_eth,pnl_usd,price,price_difference,spread_multiplier,discrepancy_spread_component
2024-12-23 07:49:00,1.3449227521580659e-06,1.3429594692681528e-06,3347.83,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,0.0,0.0,5.432001097371076e-09,0.0,0.0,1.3302392315033837e-06,1.3686317173767027e-06,1.4001230606998252,983832.6507399266,1.2306069982590355e-06,1.3277417405206635,4445.053631167293,1.3494354744400432e-06,4.51272228197738e-09,0.0101,0.0001
2024-12-23 07:50:00,1.3410327383793072e-06,1.3443399045990891e-06,3345.88,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,0.0,0.0,5.690776250829244e-09,0.0,0.0,1.3299804563499256e-06,1.368890492530161e-06,1.4001230606998252,983832.6507399266,1.2306069982590355e-06,1.3277417405206635,4442.464534773278,1.3494354744400432e-06,8.402736060736042e-09,0.0101,0.0001
2024-12-23 07:51:00,1.3418215973640659e-06,1.3421277154295466e-06,3352.14,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,0.0,0.0,5.88430705616571e-09,0.0,0.0,1.329786925544589e-06,1.3690840233354974e-06,1.4001230606998252,983832.6507399266,1.2306069982590355e-06,1.3277417405206635,4450.7761980689365,1.3494354744400432e-06,7.613877075977355e-09,0.0101,0.0001
2024-12-23 07:52:00,1.3404505941819374e-06,1.3408910649006782e-06,3353.74,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,0.0,0.0,6.288909720357527e-09,0.0,0.0,1.3293823228803973e-06,1.3694886259996894e-06,1.4001230606998252,983832.6507399266,1.2306069982590355e-06,1.3277417405206635,4452.90058485377,1.3494354744400432e-06,8.9848802581058e-09,0.0101,0.0001
2024-12-23 07:53:00,1.343175723696391e-06,1.3410692776472554e-06,3354.04,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,0.0,0.0,6.4234107762571595e-09,0.0,0.0,1.3292478218244977e-06,1.3696231270555888e-06,1.4001230606998252,983832.6507399266,1.2306069982590355e-06,1.3277417405206635,4453.298907375926,1.3494354744400432e-06,6.259750743652309e-09,0.0101,0.0001
2024-12-23 07:54:00,1.3420915130253041e-06,1.3416308500477554e-06,3350.4,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,1.3494354744400432e-06,0.0,0.0,6.564556137824134e-09,0.0,0.0,1.3291066764629306e-06,1.3697642724171559e-06,1.4001230606998252,983832.6507399266,1.2306069982590355e-06,1.3277417405206635,4448.465927440431,1.3494354744400432e-06,7.343961414739128e-09,0.0101,0.0001
2024-12-23 07:55:00,1.3418211880012058e-06,1.342921219469222e-06,3348.67,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0099125,4.267290090963609e-11,6.7504148548263465e-09,1.349435474441958e-10,3.1622773368501838,-3.162276007838472,3.1622787069793077,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4446.613509913786,1.3495704179874874e-06,7.749229986281679e-09,0.0101,0.0001
2024-12-23 07:56:00,1.3401118696899893e-06,1.3419153850285571e-06,3351.18,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,5.689719866722661e-11,7.146545741862594e-09,0.0,0.0,1.3286013567834853e-06,1.3705394791914896e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4449.946474914782,1.3495704179874874e-06,9.458548297498148e-09,0.0101,0.0001
2024-12-23 07:57:00,1.34276272385598e-06,1.3406455843342971e-06,3355.1,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,6.518392903797001e-11,7.2955816133722575e-09,0.0,0.0,1.3284440341816048e-06,1.37069680179337e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4455.151742964145,1.3495704179874874e-06,6.807694131507416e-09,0.0101,0.0001
2024-12-23 07:58:00,1.3432532932237482e-06,1.3416308500477554e-06,3350.4,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,6.968455092767255e-11,7.3450525014214495e-09,0.0,0.0,1.328390062671666e-06,1.370750773303309e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4448.910732802919,1.3495704179874874e-06,6.317124763739237e-09,0.0101,0.0001
