block_number,timestamp,tx_hash,log_index,factory_contract_address,pool_contract_address,fee,token0_address,token0_symbol,token1_address,token1_symbol
21478170,2024-12-25 08:03:23,0x5e95605ae2b39c8122c9c050a5a0f26b43b91e585ab0235cc064fd905ef6efdb,158,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xE831f77c53895b7f3b7d0205028DC6C0F826D540,3000,0xA7cBf4E059874d7a3eD072296B93cAF187415673,KKB,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21479415,2024-12-25 12:13:35,0x511279508c6abd10e516fa1ff9a8e2cbdffac3fa9b2eeaf4336119c36548726d,91,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xC1049EDC8bb7a76C7184c42C14957fbb47bEF3a2,10000,0x018DD3A0Dd7F213cc822076b3800816d3CE1ED86,HOTKEY,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21479418,2024-12-25 12:14:11,0xb6550ffbe2bbca45edf1ffcdea957a57b4f83a9ac15e1f5d3af3fd032cda1482,290,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xd71a4cb350d5aC4b6DA5e7f8Dd13702dC2A813Bc,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xDee6cDd28Da9f51e3A8421395973894a884F3B2D,HOODRAT
21480635,2024-12-25 16:18:35,0x369ba1980f3980c25f59cd45c6e583dc9aad3a8ad6ce37d421601b1318addd11,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xffA52236ffa56bfe3DdeeaCfC6f08Aa4A3E2CfeA,3000,0xbD60A9f94510c940C21Db34Ad596fBaCDcE93d49,JACATTS,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21481500,2024-12-25 19:13:11,0x6079c61ad8b8ab77ce6f7ccb73d70247acaac4c8ecf31d56f370c0afe77b81e3,189,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0c2afC0F6e4ca9C379b64D4D862989d29C581b93,3000,0x839a5AD8B8cd33797D16B4eAEa06c69fb4EF58d1,CTrump,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21481523,2024-12-25 19:17:59,0xb16024d9bb4d368674afb82dfe67be2e452a8267bee2f7cf369f843f9a2b6874,100,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xDad3e43020F50a94b92C6f7617c6540b54adf87e,10000,0x7070F01A2040bD06109C6fC478cd139b323459af,VTRU,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21483373,2024-12-26 01:30:59,0x6203ed9612f86c1c6af540c5bc1fe8e821c0227cca491006c2ab7358b2d929dd,349,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xc87B40Cf4a94A70E2FEE8bDeE1eb67b4A8D408B1,3000,0x253eD65F440a5Bd3902D7f4C03a2E29A57618914,GS,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21484102,2024-12-26 03:57:59,0xd2cbb2b15767826060ef75d2f066fd8a8eb3c0b4b0f8913b4f4d77780e54d076,245,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,0xE540F7447610bf6a03fcD49b7EE63D26483b9A56,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xDaa58A1851672a6490E2bb9Fdc8868918cDd86e6,STAR
21484372,2024-12-26 04:52:23,0xde1b5dfa6301e2e6ffc9af0525131a46baf010ed59a9a94629fb23b5f32dcb1b,0,0xbaceb8ec6b9355dfc0269c18bac9d6e2bdc29c4f,0x057801a71F83B253BF5Efc37Fc3CF2f9842184a8,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xF9162A5E5587872E10f7D93FDceF43741eB39a34,KUTTA
21484557,2024-12-26 05:29:35,0xb42da28294fc7de2962bc6e8a24e1df7e22ca34aabb6f9d2b0102ae18401b811,695,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,0xD28a79a17076eaD037162794f2e9916F3a58bD39,10000,0x253eD65F440a5Bd3902D7f4C03a2E29A57618914,GS,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
