block_number,timestamp,tx_hash,log_index,pool_contract_address,amount0,amount1,sqrt_price_x96,liquidity,tick
21447404,2024-12-21 00:46:11,0x8d785d4e48f1ce3baf9c8377d3137dee3f07d6642e236572cb44106ee3c6a973,310,0x21edad4d801974a824404e4ed4b3bd95ab876b34,4584679817712192,-3.23891368798326E+021,6.69269475152734E+031,1.35362764546983E+023,134787
21447448,2024-12-21 00:54:59,0xa5e640be271280c875328bf368fffd32ef8d9fb690c240b74905adb1d6f360c9,180,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.41692553567576E+016,2.46340491780822E+022,6.69412217017797E+031,1.35362764546983E+023,134791
21447535,2024-12-21 01:12:59,0xebbc086b7d3681d8445fb290723b7adfda4ccfd7eebaad4b66538e56421b9084,91,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.75644128222258E+016,1.988E+022,6.69527411570545E+031,1.35362764546983E+023,134794
21447552,2024-12-21 01:16:23,0xfa9744f303f310f97fee1fbdc36830b1c111f1534a4019eaeee6194cee30a931,342,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.6558915635296E+016,2.63775710330519E+022,6.6968025626359E+031,1.35362764546983E+023,134799
21447558,2024-12-21 01:17:35,0x263679f358c917d70cd9764538332422a13de5572e4ebb020d651c46e2d06294,143,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.36476087418073E+017,9.85494947833609E+022,6.70071877503124E+031,2.00067587322784E+023,134811
21447579,2024-12-21 01:21:47,0xc052b0fccc0b5752adca9479259d5929685deff33aae27aa8cb3a61e80c89af0,426,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.54780754089441E+017,1.11905036662981E+023,6.70510597749818E+031,2.00067587322784E+023,134824
21447592,2024-12-21 01:24:23,0x0153ce26aea7f2b963ab78b73f3e474909e918611048730a768faba1af2dded7,257,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-5002509106414137,3.61921188146417E+021,6.70524786758435E+031,2.00067587322784E+023,134824
21447593,2024-12-21 01:24:35,0x646018b435c937fa67b03e01e23deefe14d919acd324a296ca8d98ac24e36748,130,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-4672584365500624,3.380656513E+021,6.70538040518084E+031,2.00067587322784E+023,134825
21447619,2024-12-21 01:29:59,0x4ea33e6f2306942b74fdb0dd1494d0b2e7f0bd6c9ad91f3e7b1db6bccb2e8422,344,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-4691534227388825,3.39450136986301E+021,6.70551348556067E+031,2.00067587322784E+023,134825
21447645,2024-12-21 01:35:23,0xf1d07b04acc43e1d52d2507897cf59a0b57cf67cf4711f7aa0faec1bcb76ce2b,167,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.00229180772016E+017,2.17507659835616E+023,6.71404080631643E+031,2.00067587322784E+023,134850
21447725,2024-12-21 01:51:35,0x8a21be82e78b5e127caeb9bfe54a2ad460b8030a453eeaeddc4df58b275991c2,255,0x21edad4d801974a824404e4ed4b3bd95ab876b34,9.5E+017,-6.72565409393426E+023,6.68283768934821E+031,1.35362764546983E+023,134757
21447738,2024-12-21 01:54:11,0x1aba9eaa6cc141393acc9661170b16183dee519c6a85bd8645912e0c0f36d82c,52,0x21edad4d801974a824404e4ed4b3bd95ab876b34,7.5E+017,-5.25840905890102E+023,6.65206009043618E+031,1.35362764546983E+023,134665
21447746,2024-12-21 01:55:47,0xde94d1417a39649b6ab23afd5898eac2178f41ba493482b5e50b5610b1b8454d,19,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2.00780207961197E+017,-1.39950397224923E+023,6.64386875890392E+031,1.35362764546983E+023,134640
21447749,2024-12-21 01:56:23,0x67635826c8cfff2b3c583b3d65c2e7462de47ee60081713170bc2066340ad553,20,0x21edad4d801974a824404e4ed4b3bd95ab876b34,7.5E+017,-5.19740181959048E+023,6.61344823687982E+031,1.35362764546983E+023,134549
21447754,2024-12-21 01:57:23,0x27cf6075e2ad2eabcb23dcfe959ecd3b99d0a9fb8992a78c95641037ff3feb28,660,0x21edad4d801974a824404e4ed4b3bd95ab876b34,1.45346843151649E+016,-1.00253377582871E+022,6.61286145136918E+031,1.35362764546983E+023,134547
21447780,2024-12-21 02:02:35,0x7b392865dc8aa3a6cdb4fd51725ac5ea196a4eeee2598b9e45221ddff89df57e,208,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2.1573160798196E+017,-1.48592572006453E+023,6.60416429119907E+031,1.35362764546983E+023,134520
21447799,2024-12-21 02:06:35,0x57c66d30d319ab91c908e2b1df80f6bf9c85810e4a6b5ce6aea8d78bde3da2ff,290,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.94285041664435E+016,2.0658E+022,6.60536131789458E+031,1.35362764546983E+023,134524
21447813,2024-12-21 02:09:23,0x5afd0d16d3a992c9eb324f6e1d2d32b59d5d887e0c47104460778b7c43773538,60,0x21edad4d801974a824404e4ed4b3bd95ab876b34,8E+017,-5.47830021004286E+023,6.57329669060983E+031,1.35362764546983E+023,134427
21447829,2024-12-21 02:12:35,0x141af233ff46eaa91470da7ad332986437810c466003cf96670d7ec924509d42,430,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.198543211766E+018,1.54952705705451E+024,6.66308395233454E+031,1.35362764546983E+023,134698
21447830,2024-12-21 02:12:47,0xd25e87db95f73db6f2f2f9c16e1fe0a340cab2d667f66f608a249cfca4a59f73,29,0x21edad4d801974a824404e4ed4b3bd95ab876b34,1.5E+018,-1.04070906987527E+024,6.60217099182129E+031,1.35362764546983E+023,134514
21447847,2024-12-21 02:16:11,0xfc460404fb4969249cb7b4fee80ae8b6ff7380a99479e44f2293a5718f390b17,123,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-7.27972618056864E+016,5.10844698502673E+022,6.60513107867077E+031,1.35362764546983E+023,134523
