block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446344,2024-12-20 21:13:23,0x6a946e7f947c8f34e8b1e0e3e450c41f468e645ec2db17f74611f5755e5b306b,197,0xc5af84701f98fa483ece78af83f11b6c38aca71d,-195000,-194800,23263468012622387336,2959910127453109234998,3440008018180
21446346,2024-12-20 21:13:47,0x991cb4e68c6807b3e56c73ea5914bee2b7990cb599d3aa76328f5d8ce80c0302,2,0x9db9e0e53058c89e5b94e29621a205198648425b,68640,68700,165617456343119,15360378673,647765662765
21446350,2024-12-20 21:14:35,0x0f6fb9471ad16c243fda3eda4ff1436deb807d8b138b1358d60e834ee39a286f,63,0xe0554a476a092703abdb3ef35c80e0d76d32939f,194904,194965,656161223007612481,0,34199999999999999968
21446359,2024-12-20 21:16:23,0xcd7d27d8f7a63a6627c0344ab35821a60d57dc651179c022af1187e72b6a3883,98,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,76800,79400,441684369531792460661,509387251178954574,1505002051439507590303
21446366,2024-12-20 21:17:47,0x9b7610b913d483c60a4f0c26816740813d4df99d15e9a9b528d450cad4c5b649,35,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,65700,72660,1475185424,8729278,6193914167
21446367,2024-12-20 21:17:59,0xef61cd9b8a3479692b2d79b9b610c6ca0fc9926e2241666165f233611c9849f9,213,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,75800,79800,754115888508755228667,1151578774577413095,4280318948338476444746
21446368,2024-12-20 21:18:11,0x444df7084fc9ec50c167cf77f9b7c216f8818d8452c050929ca1059dd8715639,382,0xf763bb342eb3d23c02ccb86312422fe0c1c17e94,-7800,-7600,2178051932160,24741533729,3338147538
21446372,2024-12-20 21:18:59,0xbb0ec53a03f671a551a47c851cedbff06e8de29f2fc6d7778adce3ff79e55668,2,0x11b815efb8f581194ae79006d24e0d814b7697f6,-194970,-194960,27380657579924389888,194582211167376909211,135556427691
21446380,2024-12-20 21:20:35,0xd2252a8af36231160eef99aa83230da82840c7b787bee66cb3e91ed2261e8bfd,218,0x9da4acd7d87e7396901d92671173296bf9845c53,-887200,887200,50144394569270543608741086,1796043076227635129847776967,1400000000000000000000000
21446386,2024-12-20 21:21:47,0x4fb8bef2c36ce58339c3b57c36d7c11a2cfeb1381974f2eedc9bf0c875255c43,46,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,-887220,887220,291829201307,4999999867055835,17032857
21446394,2024-12-20 21:23:23,0x1d23d7822c482596cdaf39e1a1a613460512a4815814b89d2c138de501a66d6f,141,0x99543a3dcf169c8e442cc5ba1cb978ff1df2a8be,-323400,-322400,4870938375375798201,2499999999999999404443183,0
21446398,2024-12-20 21:24:11,0x79f491909ddcf74a9f2aa3a1aeedf376bb46291b907ae5d2c16da8300c466f97,226,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,76200,78600,784385091375261760192,283445024235886432,3793239493385860159775
21446404,2024-12-20 21:25:23,0x9923487afc5b199f8d31e571cd92cbb8ba25a81d8249c8be39f6ef8edd7a22b1,289,0x25b96761e765b9ac20db18fa57fa91e3b617ec6f,-74200,-60400,6294318965694349689569,92948703331838005606136,24437595432712711402
21446406,2024-12-20 21:25:47,0xf72c2bc7500d9a2f811ee73efc5ff9f486f92346abbe1ee7d21dfafdd64568c2,2,0x11b815efb8f581194ae79006d24e0d814b7697f6,-194980,-194970,33065846278572736512,197848440381259770673,290624983657
21446413,2024-12-20 21:27:11,0x6c2fee657b83bf11a9d31a260a9461b99b07f51506317f76489719605122bbb5,250,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,-60360,-42360,116569447494189800878,904900620089128630139,1550000000000000000
21446415,2024-12-20 21:27:35,0x13b44a5ad3b1fc9801ba034ced8cacb87cad19bee9cc18cac4dbba7101c2c2e2,139,0x99543a3dcf169c8e442cc5ba1cb978ff1df2a8be,-323800,-323400,4703824223454841693,999999999999998998506540,0
21446422,2024-12-20 21:28:59,0x3a8c6ee51ea324e8ca02a0b38c005a9983c4d2d21e22857ebac537a9b3e1d283,74,0x9ba3f47fe7f5a12562ba0a4a5645d8bf9ea1dd8e,-202200,-198200,16387799944865976677467,72999999999999999999546404,0
21446432,2024-12-20 21:30:59,0xd8c84276b08be3618f14289675cbf13cfb2577d9c7fa74570a6fc5d286c1f12b,16,0x77fab4a22c982b7d1287dfe2056be02a72d3d07d,-275630,-275620,44457962859007755042,21464434266964280269073,0
21446432,2024-12-20 21:30:59,0xb4372864ef0f8aa57c8718920d17353e5f6b55b1174a357c54e1f40564dcf75b,708,0x29567ae23d65225870c5bd738a6debe7ac5a1d66,-6800,200,264417002569121595,45864402549106405,39051614160953212
21446435,2024-12-20 21:31:35,0xf624fa02aa5e7e4cd3fa984330b3131b94e37ebb8e1b2b98bd93de10b7a9a686,2,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,194950,194960,624245251236742207749,2406770267395,4634646253811801090681
21446436,2024-12-20 21:31:47,0xfdb8cf47fd9e1307bc6a8a56a9b7b1cd216fc69cfa9074720ee93d34827a7943,121,0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,72780,77760,531966512460110715557,1146562978420594252,3251309062869439745116
21446436,2024-12-20 21:31:47,0xaecba11870452cb42c0593f301a4774f70d3b787a2c6019af884d89e10441175,242,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,-60780,-45000,13877569878159586158,91452481369999999786,198617357647838289
21446437,2024-12-20 21:31:59,0x33021e5ac83775fbdc0fbd6962046821150ef018ed1bd728961390b842899223,53,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,194700,195430,2954074179921826,4020367336,649652337866295694
21446437,2024-12-20 21:31:59,0xf34874903b34ee8dc169df627a5d76d0ec2521fbf6162c70966ba6b31fa5fe33,155,0x25b96761e765b9ac20db18fa57fa91e3b617ec6f,-74200,-60400,2499937442830167944772,36806380462042548621154,9794895561208247052
21446445,2024-12-20 21:33:35,0xb384547ed635681ead3353143122c3bb51a1de1facef4a02a2a9a33a26a8af9c,476,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,180000,196400,111111436807149,455697539,999999998097380688
21446449,2024-12-20 21:34:23,0x8880fe42382c2639a5bcae369884da81464035f0042a06b487e6ae4d2e08dcea,5,0x18bbe20f81bdcb340325e28a6ee6bb426b7ccbc1,-83940,-83880,1311204008304093897424896,18965375491363309180340,54945263224190177646
21446449,2024-12-20 21:34:23,0x63f68feb925df96e23e259d5fcb041ec4624d65461cd8bbd06c6e24613ddbcf8,772,0x25b96761e765b9ac20db18fa57fa91e3b617ec6f,-74200,-60400,1255104356103954954134,18358237753177531209127,5015078438090602862
21446452,2024-12-20 21:34:59,0x87b0eab1f0c2dcf19cd29b49aedb748d3679f84d3da0d9a9af8eca528e15c76a,29,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,78000,78200,174982088955974892870312,8570992035915415217,65577191459657433313085
21446464,2024-12-20 21:37:23,0x26349413aa89ce737c60dc0a3ddc1feb60f256d7814363af0c37c5719710a40c,3,0x25b96761e765b9ac20db18fa57fa91e3b617ec6f,-74200,-60400,75131071433447053107,1098931786284029296916,300204691780479641
21446465,2024-12-20 21:37:35,0x37421d62fe7a81a7718150afe68053dbfe340dd2bc66c9fc9ec7fcfb9733ae8b,9,0x6aeb4f36c764b3d0a239690266a8668c6786e089,76600,76800,6254171500572573696,677632357625574,1435682206988592226
21446469,2024-12-20 21:38:23,0xd9038938629799d17fca192dd50a09c8a3da3f72be5362d4e4c16c354bd953e9,327,0xc4ce8e63921b8b6cbdb8fcb6bd64cc701fb926f2,-145800,-137000,2523156078123033613906,270957945422845439279614,678594501150174698
21446487,2024-12-20 21:41:59,0xb84035525984b53088c4ce63f64f8024f393b52eec664e1fb1c642231512c3ad,316,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,76000,79600,1379307957820758232598,2030000000000000000,6769298465232768639515
21446489,2024-12-20 21:42:23,0x4085a4a194666ea566714b60633552c06ebf2f99679194b9e86e65da2c9ff39a,278,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,77400,78400,304749621253899055457,96433563606048294,507887317095981225334
21446498,2024-12-20 21:44:11,0xba13bc77b060103f1f6309413e3d673f39fd9d69de4d319a04cdea70a4f6dcab,4,0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb,-66480,-63000,46914795224276188347,116970573957325624432,126984604942784874
21446505,2024-12-20 21:45:35,0xc188599285262137636ba1ccc9a8a7f82a6d8df608395f4506197da603e52e34,185,0x120ffad35bb97a5baf9ab68f9dd7667864530245,-158800,-156200,202148569487306335735702,0,10000000000000000000
21446512,2024-12-20 21:46:59,0x96e0a59bd39416b2fce0998ee5736c8a62aab3e97ddcbd3f8cb74ecdd7f6f0fc,35,0x89556c9d2b44c20dc367bf24fa86e5f1f4e44c7f,104400,121800,805420663112730305831657,519068233842912162948,127811970920548322467816348
