block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446346,2024-12-20 21:13:47,0x9e40f082434591bddb03c2d87f0bf50688726dae6ef5b01f6c8a69ebb21b4f6a,39,0x9db9e0e53058c89e5b94e29621a205198648425b,68640,68700,165617456343119,15542923053,473058077635
21446351,2024-12-20 21:14:47,0x1e3aba69798106c016ba9a888c362c3319ab9fa3071f83557a92cb2384f8ee51,301,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,-60840,-49200,0,0,0
21446351,2024-12-20 21:14:47,0x3c7b9598f00ee0ceed9beb26fbe5aab9a724e0f0cc07d03e88ebac3a9282e993,340,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,79000,84000,242337758031078251324,1032305217120524888,0
21446357,2024-12-20 21:15:59,0x1965a1c2f45bbfffe11ad59c68ce4063977fc5a3ad5b28c68566a6da6eee9ca7,193,0xd8c7b685cae56609e93a7af77a06cc98db960c9e,-108200,-103800,283131366850102022723,12078530934024333923089,8488592237316314
21446364,2024-12-20 21:17:23,0xc5bd9a590e4d3ee817976d8ba9d9ec46e31d8da69aeddebcb53b320e77b92046,223,0xf8f0ef9f6a12336a1e035adddbd634f3b0962f54,-887200,887200,0,0,0
21446364,2024-12-20 21:17:23,0xc5bd9a590e4d3ee817976d8ba9d9ec46e31d8da69aeddebcb53b320e77b92046,231,0x72e0de1cc2c952326738dac05bacb9e9c25422e3,-887200,887200,0,0,0
21446368,2024-12-20 21:18:11,0xa7cd22277954336f62315332f133f96149786fa15662f34dd72d9c3a6db64e5b,388,0xf763bb342eb3d23c02ccb86312422fe0c1c17e94,-7800,-7600,2178051932160,29132843094,1318705352
21446371,2024-12-20 21:18:47,0x7648438986d728fdee6e471722450bc2e45ac29bc2bef86f21313ed5316a092f,285,0xac4fd96fcf729390a3c8044422a529028ec36751,76000,88400,0,0,0
21446372,2024-12-20 21:18:59,0xfa7a236df58fbb8b6a9af16435bd3d37b1aff85c71e44cd4c93a7e4c0381a299,42,0x11b815efb8f581194ae79006d24e0d814b7697f6,-194970,-194960,27380657579924389888,202005083486836355699,110227164296
21446376,2024-12-20 21:19:47,0x64b0a2833031aacf1e81fcb7ae14ef277b11ef70f519157e38bf2f2c165d64d4,53,0xf8f0ef9f6a12336a1e035adddbd634f3b0962f54,-887200,887200,0,0,0
